Pull_Number,Arm_Pulled,Reward,Cumulative_Reward,Regret
397,21,24,8307,1438.3120915032687
398,21,20,8327,1442.8594771241842
399,21,26,8353,1441.406862745098
400,6,12,8365,1453.9542483660134
401,21,32,8397,1446.501633986929
402,21,30,8427,1441.0490196078426
403,21,26,8453,1439.5964052287582
404,21,26,8479,1438.1437908496737
405,21,23,8502,1439.6911764705892
406,9,17,8519,1447.238562091503
407,3,22,8541,1449.7859477124184
408,21,30,8571,1444.333333333334
409,21,23,8594,1445.8807189542495
410,21,25,8619,1445.4281045751632
411,5,23,8642,1446.9754901960787
412,21,26,8668,1445.5228758169942
413,21,23,8691,1447.070261437908
414,21,20,8711,1451.6176470588234
415,21,22,8733,1454.165032679739
416,13,30,8763,1448.7124183006545
417,21,27,8790,1446.2598039215682
418,21,17,8807,1453.8071895424837
419,21,27,8834,1451.3545751633992
420,21,24,8858,1451.9019607843147
421,21,26,8884,1450.4493464052284
422,21,19,8903,1455.996732026144
423,21,31,8934,1449.5441176470595
424,21,27,8961,1447.091503267975
425,21,25,8986,1446.6388888888887
426,12,7,8993,1464.1862745098042
427,21,20,9013,1468.7336601307197
428,21,17,9030,1476.2810457516334
429,21,18,9048,1482.828431372549
430,21,25,9073,1482.3758169934645
431,21,32,9105,1474.92320261438
432,21,24,9129,1475.4705882352937
433,21,20,9149,1480.0179738562092
434,14,6,9155,1498.5653594771247
435,21,22,9177,1501.1127450980403
436,21,21,9198,1504.660130718954
437,21,21,9219,1508.2075163398695
438,21,27,9246,1505.754901960785
439,1,17,9263,1513.3022875817005
440,11,12,9275,1525.8496732026142
441,21,28,9303,1522.3970588235297
442,21,30,9333,1516.9444444444453
443,21,21,9354,1520.491830065359
444,21,31,9385,1514.0392156862745
445,21,29,9414,1509.58660130719
446,1,17,9431,1517.1339869281055
447,21,20,9451,1521.6813725490192
448,21,29,9480,1517.2287581699347
449,18,7,9487,1534.7761437908503
450,1,18,9505,1541.3235294117658
451,20,15,9520,1550.8709150326795
