round,arm_pulled,reward,cum_reward,regret
730,21,29,13878,4049.3549488054596
731,21,27,13905,4046.9129692832757
732,21,31,13936,4040.470989761092
733,21,18,13954,4047.029010238908
734,21,29,13983,4042.5870307167243
735,21,23,14006,4044.1450511945404
736,21,15,14021,4053.703071672353
737,21,19,14040,4059.261092150169
738,21,29,14069,4054.8191126279853
739,21,29,14098,4050.3771331058015
740,21,24,14122,4050.9351535836176
741,21,23,14145,4052.493174061434
742,21,24,14169,4053.05119453925
743,21,25,14194,4052.6092150170625
744,21,20,14214,4057.1672354948787
745,21,26,14240,4055.725255972695
746,21,20,14260,4060.283276450511
747,21,20,14280,4064.841296928327
748,21,29,14309,4060.3993174061434
749,21,19,14328,4065.9573378839596
750,21,20,14348,4070.5153583617757
751,21,25,14373,4070.0733788395883
752,21,26,14399,4068.6313993174044
753,21,19,14418,4074.1894197952206
754,21,24,14442,4074.747440273037
755,21,19,14461,4080.305460750853
756,21,26,14487,4078.863481228669
757,21,32,14519,4071.4215017064853
758,21,21,14540,4074.9795221843015
759,21,38,14578,4061.537542662114
760,21,30,14608,4056.09556313993
761,21,27,14635,4053.6535836177463
762,21,20,14655,4058.2116040955625
763,21,22,14677,4060.7696245733787
764,21,30,14707,4055.327645051195
765,21,30,14737,4049.885665529011
766,21,21,14758,4053.443686006827
767,21,28,14786,4050.0017064846397
768,21,19,14805,4055.559726962456
769,21,20,14825,4060.117747440272
770,21,24,14849,4060.6757679180882
771,21,22,14871,4063.2337883959044
772,21,27,14898,4060.7918088737206
773,21,27,14925,4058.3498293515368
774,21,23,14948,4059.9078498293493
775,21,23,14971,4061.4658703071655
776,21,30,15001,4056.0238907849816
777,21,19,15020,4061.581911262798
778,21,20,15040,4066.139931740614
779,21,26,15066,4064.69795221843
780,21,25,15091,4064.2559726962463
781,21,30,15121,4058.8139931740625
782,21,22,15143,4061.372013651875
783,21,27,15170,4058.930034129691
784,21,32,15202,4051.4880546075074
785,21,26,15228,4050.0460750853235
786,21,20,15248,4054.6040955631397
787,21,29,15277,4050.162116040956
788,21,23,15300,4051.720136518772
789,21,25,15325,4051.278156996588
790,21,22,15347,4053.8361774744008
791,21,22,15369,4056.394197952217
792,21,27,15396,4053.952218430033
793,21,25,15421,4053.5102389078493
794,21,18,15439,4060.0682593856654
795,21,28,15467,4056.6262798634816
796,21,26,15493,4055.184300341298
797,21,29,15522,4050.7423208191103
798,21,27,15549,4048.3003412969265
799,21,27,15576,4045.8583617747427
