,0
204,369.43558282208596
205,366.34458077709587
206,371.2535787321067
207,370.1625766871166
208,366.0715746421265
209,372.9805725971373
210,367.88957055214723
211,361.79856850715714
212,366.70756646216796
213,367.61656441717787
214,360.5255623721878
215,365.4345603271986
216,371.3435582822085
217,372.2525562372184
218,372.16155419222923
219,377.07055214723914
220,380.97955010224905
221,383.88854805725987
222,386.7975460122698
223,390.7065439672806
224,387.6155419222905
225,392.5245398773004
226,387.43353783231123
227,387.34253578732114
228,390.25153374233105
229,398.16053169734187
230,396.0695296523518
231,396.9785276073617
232,392.8875255623725
233,390.7965235173824
234,383.7055214723923
235,384.61451942740314
236,389.52351738241305
237,394.43251533742296
238,392.3415132924338
239,389.2505112474437
240,388.1595092024536
241,391.0685071574644
242,390.9775051124743
243,386.8865030674842
244,381.79550102249505
245,389.70449897750495
246,386.6134969325158
247,387.5224948875257
248,389.4314928425356
249,394.3404907975464
250,394.2494887525563
251,394.1584867075662
252,398.06748466257704
253,403.97648261758695
254,405.88548057259686
255,400.7944785276077
256,403.7034764826176
257,403.6124744376275
258,394.5214723926383
259,401.4304703476482
260,399.33946830265813
261,392.24846625766895
262,401.15746421267886
263,406.06646216768877
264,407.9754601226996
265,408.8844580777095
266,406.7934560327194
267,405.7024539877302
268,401.61145194274013
269,401.52044989775095
270,403.42944785276086
271,406.33844580777077
272,408.2474437627816
273,413.1564417177915
274,411.0654396728014
275,405.9744376278122
276,403.88343558282213
277,403.79243353783204
278,406.70143149284286
279,408.61042944785277
280,404.5194274028627
281,403.4284253578735
282,394.3374233128834
283,398.2464212678933
284,396.15541922290413
285,401.06441717791404
286,396.97341513292395
287,397.88241308793476
288,397.7914110429447
289,401.7004089979546
290,400.6094069529654
291,400.5184049079753
292,403.4274028629861
293,409.33640081799604
294,401.24539877300595
295,405.15439672801676
296,405.0633946830267
297,405.9723926380366
298,403.8813905930474
299,394.7903885480573
300,392.6993865030672
301,388.60838445807804
302,396.51738241308794
303,397.42638036809785
304,399.33537832310867
305,401.2443762781186
306,403.1533742331285
307,401.0623721881393
308,401.9713701431492
309,401.8803680981591
310,400.78936605316994
311,401.69836400817985
312,400.60736196318976
313,409.5163599182006
314,416.4253578732105
315,419.3343558282213
316,409.2433537832312
317,411.1523517382411
318,407.06134969325194
319,407.97034764826185
320,406.87934560327176
321,403.7883435582826
322,407.6973415132925
323,405.6063394683024
324,408.5153374233132
325,408.4243353783231
326,411.33333333333303
327,413.24233128834385
328,417.15132924335376
329,421.06032719836367
330,415.9693251533745
331,417.8783231083844
332,417.7873210633943
333,420.6963190184051
334,418.60531697341503
335,417.51431492842494
336,415.42331288343576
337,414.33231083844566
338,412.2413087934565
339,413.1503067484664
340,418.0593047034763
341,416.9683026584871
342,413.877300613497
343,421.78629856850694
344,424.69529652351775
345,413.60429447852766
346,412.5132924335376
347,409.4222903885484
348,414.3312883435583
349,416.2402862985682
350,415.149284253579
351,412.05828220858893
352,410.96728016359884
353,413.87627811860966
354,415.78527607361957
355,416.6942740286295
356,414.6032719836403
357,413.5122699386502
358,414.4212678936601
359,418.33026584867093
360,416.23926380368084
361,409.14826175869166
362,411.05725971370157
363,413.9662576687115
364,413.8752556237223
365,412.7842535787322
366,414.6932515337421
367,417.60224948875293
368,421.51124744376284
369,420.42024539877275
370,427.32924335378357
371,424.2382413087935
372,421.1472392638034
373,430.0562372188142
374,429.9652351738241
375,425.874233128834
376,429.78323108384393
377,433.69222903885566
378,438.60122699386557
379,436.5102249488755
380,438.4192229038854
381,443.3282208588953
382,448.2372188139052
383,449.14621676891693
384,453.05521472392684
385,474.96421267893675
386,468.87321063394666
387,470.78220858895656
388,463.6912065439665
389,457.6002044989782
390,459.5092024539881
391,456.418200408998
392,457.3271983640079
